id	title	name	publication_date	body	new_title
470082	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	Not--not in spite of it, Mr. President. Mr. President let's get something straight. We love it. We are not leaving it. We are hear to stay and we are certainly not going to leave it to you.	Democratic Presidential Debate - July 31 | CNN
470083	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Well, they're probably confused because they haven't read it. But the reality is that I have been spending time in this campaign listening to American families, listening to experts, listening to healthcare providers and what I came away with is a very clear understanding that I needed to create a plan that was responsive to the needs of the American people. Responsive to their needs of understanding that insurance companies have been jacking up the prices for far too long. That American families have to be held down by deductibles and copays and--and premiums that can cause them bankruptcy. I listen to the American families that say four years is not enough to transition into this new plan so I devised a plan where it is going to be 10 years of a transition --	Democratic Presidential Debate - July 31 | CNN
470084	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	I listened to American families who said I want an option that will be under your Medicare system that allows a private plan. So, I designed a plan where, yes, responsive to the needs of American families. There will be a public plan under my plan for Medicare and a private plan under my plan for Medicare because the bottom line is this, we must agree that access to healthcare must be a right and not just a privilege of those who can afford it. And in America today, far too many people--in fact, 30 million people--	Democratic Presidential Debate - July 31 | CNN
470085	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--are going without access to healthcare.	Democratic Presidential Debate - July 31 | CNN
470086	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	Well, my response is that the senator's had several plans so far and any time someone tells you you're going to get something good in 10 years, you should wonder why it takes 10 years. If you notice, there's no talk about the fact that the plan, in 10 years, will cost $3 trillion. You will lose your employer-based insurance. And in fact, you know, this is the single most important issue facing the public. And to be very blunt and to be very straightforward, you can't beat President Trump with double talk on this plan.	Democratic Presidential Debate - July 31 | CNN
470087	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Absolutely. Unfortunately, Vice President Biden, you're just simply inaccurate in what you're describing. The reality is that our plan will bring healthcare to all Americans under a Medicare for All system. Our plan will allow people to start signing up on the first day. Babies will be born into our plan. And right now, 4 million babies almost are born every day in America--or every year in America. Under our plan, we will ensure that everyone has access to healthcare.	Democratic Presidential Debate - July 31 | CNN
470088	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Your plan, by contrast, leaves out almost 10 million Americans. So, I think that you should really think about what you're saying, but be reflective and understand that the people of America want access to healthcare and do not want cost to be their barrier to getting it.	Democratic Presidential Debate - July 31 | CNN
470089	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	The plan, no matter how you cut it, costs $3 trillion when it is, in fact, employed, number one. Ten years from now, after two terms of the senator being president. After her time. Secondly, it will require middle class taxes to go up, not down. Thirdly, it will eliminate employer-based insurance. And fourthly, what happens in the meantime?	Democratic Presidential Debate - July 31 | CNN
470090	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	I'd like to respond. First of all, the cost of doing nothing is far too expensive. Second, we are now paying $3 bill--trillion a year for healthcare in America. Over the next 10 years, it's probably going to be $6 trillion. We must act. My plan is about immediately allowing people to sign up and get into coverage. Right now, in America, we have seniors who every day--millions of seniors are going into the Medicare system and they are getting full coverage and the kind of coverage they need. All people should have access to healthcare and--and cost should not be their barrier.	Democratic Presidential Debate - July 31 | CNN
470091	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Thank you. I don't know what the vice president and senator are talking about. The folks I talk to about health insurance say that their health insurance isn't working for them. There's tens of millions of Americans don't even have health insurance. Tens of millions more--	Democratic Presidential Debate - July 31 | CNN
