id	title	name	publication_date	body	new_title
737308	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Right now we have a dysfunctional health care system, 87 million uninsured or underinsured, 500,000--500,000 Americans every year are going bankrupt because of medical bills, 30,000 people dying while the healthcare industry makes tens of billions of dollars in profit. Five minutes away from here, John, is a country called Canada. They guarantee health care to every man, woman and child as a human right. They spend half of what we spend and by the way when you end up in a hospital in Canada you come out with no bill at all. Healthcare is a human right, not a privilege. I believe that. I will fight for that.	Democratic Presidential Debate - July 30 | CNN
737309	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	My name was also mentioned in this.	Democratic Presidential Debate - July 30 | CNN
737310	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	The fact of the matter is tens of millions of people lose their health insurance every single year when they change jobs or their employer changes that insurance. If you want stability in the healthcare system, if you want a system which gives you freedom of choice with regard to doctor or hospital which is a system which will not bankrupt you the answer is to get rid of the profiteering of the drug companies and the insurance companies--	Democratic Presidential Debate - July 30 | CNN
737311	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--(INAUDIBLE) Medicare.	Democratic Presidential Debate - July 30 | CNN
737312	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	(INAUDIBLE)	Democratic Presidential Debate - July 30 | CNN
737313	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	No. No one is the party--	Democratic Presidential Debate - July 30 | CNN
737314	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--No--	Democratic Presidential Debate - July 30 | CNN
737315	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Okay.	Democratic Presidential Debate - July 30 | CNN
737316	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	So, look--	Democratic Presidential Debate - July 30 | CNN
737317	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--Let's--let's be clear about this. We are the democrats. We are not about trying to take away healthcare from anyone. That's what the republicans are trying to do.	Democratic Presidential Debate - July 30 | CNN
