id	title	name	publication_date	body	new_title
538272	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bernie Sanders	2019-06-27	Well, you are quite right. We have a new vision for America and at a time when we have three people in this country owning more wealth than the bottom half of America, while 500,000 people are sleeping out on the streets today we think it is time for change, real change.	Democratic Presidential Debate - June 27 (Full) | NBC News
538273	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bernie Sanders	2019-06-27	And by that I mean that healthcare in my view is a human right and we have got to pass a Medicare for all single-payer system.	Democratic Presidential Debate - June 27 (Full) | NBC News
538274	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bernie Sanders	2019-06-27	Under that system by the way vast majority of the people in this country will be paying significantly less for healthcare than they are right now. I believe that education is the future for this country and that is why I believe that we must make public colleges and universities tuition-free and eliminate student debt and we do that by placing a tax on Wall Street.	Democratic Presidential Debate - June 27 (Full) | NBC News
538275	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bernie Sanders	2019-06-27	Every proposal that I have brought forth is fully paid for.	Democratic Presidential Debate - June 27 (Full) | NBC News
538276	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bernie Sanders	2019-06-27	People who have healthcare under Medicare for all will have no premiums, no deductibles, no copayments, no out of expe--out-of-pocket expenses. Yes, they will pay more in taxes but less in healthcare for what they get.	Democratic Presidential Debate - June 27 (Full) | NBC News
538277	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-06-27	I'd like to say--	Democratic Presidential Debate - June 27 (Full) | NBC News
538278	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-06-27	What I meant by that is look, Donald Trump thinks Wall Street built America. Ordinary middle-class Americans built America.	Democratic Presidential Debate - June 27 (Full) | NBC News
538279	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-06-27	My dad used to have an expression he said Joe a job is about a lot more than a paycheck; it's about your dignity, it's about respect, it's being able to look your kid in the eye and say everything's going to be okay. Too many people who are in the middle class and poor have had the bottom fall out under this proposal.	Democratic Presidential Debate - June 27 (Full) | NBC News
538280	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-06-27	What I am saying is that we've got to be straightforward. We have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it. They have to make sure that we (INAUDIBLE) situation where there's continuing education and they are able to pay for it and they have to make sure that they are able to breathe air that is--is--is clean and they--they have water that they can drink.	Democratic Presidential Debate - June 27 (Full) | NBC News
538281	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-06-27	Look, Donald Trump has put us in a horrible situation. We do have enormous income inequality and one thing I agree honestly can make massive cuts in the $1.6 trillion in tax loopholes out there and I would be going about eliminating Donald Trump's tax cuts for the wealthy.	Democratic Presidential Debate - June 27 (Full) | NBC News
538282	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Pete Buttigieg	2019-06-27	(UNTRANSLATED)	Democratic Presidential Debate - June 27 (Full) | NBC News
538283	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Pete Buttigieg	2019-06-27	Sure. So, college affordability is personal for us. Chasten and I have six figure student debt. I believe in reducing student debt. It's logical to me that if you can refinance your house you ought to be able to refinance your student debt. I also believe in free college for low and middle income students for whom cost could be a barrier.	Democratic Presidential Debate - June 27 (Full) | NBC News
538284	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Pete Buttigieg	2019-06-27	I just don't believe it makes sense to ask working class families to subsidize even the children of billionaires. I think the children of the wealthiest Americans can pay at least a little bit of tuition. And while I want -- want tuition costs to go down I don't think we can buy down every last penny for that. Now, there's something else that doesn't get talked about in the college affordability debate. Yes, it needs to be more affordable in this country to go to college. It also needs to be more affordable in this country to not go to college. You should be able to live well, afford rent, be generous to your children--	Democratic Presidential Debate - June 27 (Full) | NBC News
538285	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Pete Buttigieg	2019-06-27	(INAUDIBLE) little league whether you went to college or not. That's one of many reasons we need to raise the minimum wage to at least $15.00 an hour.	Democratic Presidential Debate - June 27 (Full) | NBC News
538286	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-06-27	That's right.	Democratic Presidential Debate - June 27 (Full) | NBC News
538287	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-06-27	I'm sorry?	Democratic Presidential Debate - June 27 (Full) | NBC News
538288	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-06-27	Well, the value added tax what it would end up--you would still be increasing the buying power of the bottom 94 percent of Americans. You have to spend a lot of money for a mild value add tax to eat up $12,000 a year per individual. So for the average family with two or three adults it would $24 to $36,000 a year.	Democratic Presidential Debate - June 27 (Full) | NBC News
