id	title	name	publication_date	body	new_title
753300	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	At the end of the day we have too much of a problem with corporate-	Democratic Presidential Debate - June 26 (Full) | NBC News
753301	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	--on the Affordable Care Act, and that is a public option. I am just simply concerned about kicking half of America off of their health insurance in a four years, which is exactly what this bill says.	Democratic Presidential Debate - June 26 (Full) | NBC News
753302	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	So, let me go on beyond that. There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV on Fox and said that people's heads would spend when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies. For the rest of us, for the rest of America, that's what we call at home all foam and no beer. We got nothing out of it.	Democratic Presidential Debate - June 26 (Full) | NBC News
753303	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	And so, my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington. Well, they don't own me.	Democratic Presidential Debate - June 26 (Full) | NBC News
753304	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	So, yes, I'm with Bernie on Medicare for All, and let me tell you why. I've spent a big chunk of my life studying why families go broke, and one of the number one reasons is the cost of healthcare, medical bills. And that's not just for people who don't have insurance. It's for people who have insurance.	Democratic Presidential Debate - June 26 (Full) | NBC News
753305	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	Look at the business model of an insurance company. It's to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your healthcare. That leaves families with rising premiums, rising co-pays, and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need. Medicare for All solves that problem.	Democratic Presidential Debate - June 26 (Full) | NBC News
753306	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	And I understand there are a lot of politicians who say, oh, it's just not possible. We just can't do it. It's--have a lot of political reasons for this. What they're really telling you is they just won't fight for it. Well, healthcare is a basic human right, and I will fight for basic human rights.	Democratic Presidential Debate - June 26 (Full) | NBC News
753307	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	That means Medicare for All.	Democratic Presidential Debate - June 26 (Full) | NBC News
753308	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	My goal is to ensure that every American is well enough to live to their full potential because they have healthcare. In Laredo, Texas, I met a young man, 27 years old, told me that he'd been to a doctor once in his life. And on that visit, he was told he had diabetes, was told he had glaucoma, and he was told untreated, because he doesn't have healthcare, he'll be dead before the age of 40.	Democratic Presidential Debate - June 26 (Full) | NBC News
753309	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	So, getting to guaranteed, high quality, universal healthcare as quickly and surely as possible has to be our goal; the ability to afford your prescriptions and go to a primary care provider, the--the ability to see a mental health care provider. In Texas, the single largest provider of mental health care services is the county jail system today.	Democratic Presidential Debate - June 26 (Full) | NBC News
753310	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	And healthcare also has to mean that every woman can make our own decisions about her own body and has access to the care that makes that possible.	Democratic Presidential Debate - June 26 (Full) | NBC News
753311	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	Our plan says that if you're uninsured, we enroll you in Medicare. If you're insufficiently in short, you can afford your premiums, we enroll you in Medicare. But if you're a member of a union that negotiated for a healthcare plan that you like because it works for you--	Democratic Presidential Debate - June 26 (Full) | NBC News
753312	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--And your family, your able to keep it. We preserve choice by making sure--	Democratic Presidential Debate - June 26 (Full) | NBC News
753313	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--Everybody has health care--	Democratic Presidential Debate - June 26 (Full) | NBC News
753314	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	No. I--I think that choice is--is fundamental to our ability--	Democratic Presidential Debate - June 26 (Full) | NBC News
753315	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--Hey, wait, wait--	Democratic Presidential Debate - June 26 (Full) | NBC News
753316	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--To get everybody cared for--	Democratic Presidential Debate - June 26 (Full) | NBC News
753317	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--Congressman O'Rourke, about private insurance is not working for tens of millions of Americans. When you talk about the co-pays, the deductibles, the premiums, the out-of-pocket expenses, it's not working.	Democratic Presidential Debate - June 26 (Full) | NBC News
753318	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	That's right. So--so, for those--	Democratic Presidential Debate - June 26 (Full) | NBC News
753319	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--How can you defend a system that's--	Democratic Presidential Debate - June 26 (Full) | NBC News
753320	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--For whom it is--	Democratic Presidential Debate - June 26 (Full) | NBC News
753321	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--Not working--	Democratic Presidential Debate - June 26 (Full) | NBC News
753322	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--Not working, they can choose Medicare. For the culinary workers--	Democratic Presidential Debate - June 26 (Full) | NBC News
753323	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--Congressman--	Democratic Presidential Debate - June 26 (Full) | NBC News
753324	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--In Nevada who I listened to--	Democratic Presidential Debate - June 26 (Full) | NBC News
753325	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--You got to start by acknowledging the system is not working--	Democratic Presidential Debate - June 26 (Full) | NBC News
753326	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--Who negotiated for those plans--	Democratic Presidential Debate - June 26 (Full) | NBC News
753327	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	--For people--	Democratic Presidential Debate - June 26 (Full) | NBC News
753328	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	--They're able to keep 'em.	Democratic Presidential Debate - June 26 (Full) | NBC News
753329	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-06-26	Why are you defending private insurance to begin with?	Democratic Presidential Debate - June 26 (Full) | NBC News
753330	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-06-26	--Yes--	Democratic Presidential Debate - June 26 (Full) | NBC News
753331	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-06-26	I think we're talking about this in the wrong way. You're talking about one bill over another bill. Really, what we're talking about is our objective, making sure that every single American in this country is able to get the health care that they need. I believe Medicare for All is the way to do that.	Democratic Presidential Debate - June 26 (Full) | NBC News
753332	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-06-26	I also think that employers recognize how much money will be saved by supporting a Medicare for All program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need.	Democratic Presidential Debate - June 26 (Full) | NBC News
753333	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-06-26	--I also think if you--if you look at other countries in the world who have universal healthcare, every one of them has some form of a role of--of private insurance. I think that's what we've got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless--	Democratic Presidential Debate - June 26 (Full) | NBC News
753334	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-06-26	--Of how much or little money they have in their pocket.	Democratic Presidential Debate - June 26 (Full) | NBC News
753335	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	I absolutely will. First of all, we're talking about this as a healthcare issue. But in communities like mine, low income communities, it's an education issue because kids who don't have healthcare are not going to succeed in school. It is an issue for jobs--	Democratic Presidential Debate - June 26 (Full) | NBC News
